species,isolate,taxon,system,temperature,irradiance,light_hours,synonym,volume,c_per_cell,c_citation,mu_inf_amm,mu_amm,k_amm_m,k_amm,vmax_amm,vmax_amm_c,qmin_amm,qmin_amm_c,qmax_amm,qmax_amm_c,mu_inf_nit,mu_nit,k_nit_m,k_nit,vmax_nit,vmax_nit_c,qmin_nit,qmin_nit_c,qmax_nit,qmax_nit_c,mu_inf_p,mu_p,k_p_m,k_p,vmax_p,vmax_p_c,qmin_p,qmin_p_c,qmax_p,qmax_p_c,citation
Volvox aureus,,green,freshwater,10,512,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,0.23,0.17,5.22E-08,NA,NA,NA,NA,NA,106
Volvox aureus,,green,freshwater,15,512,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,0.26,0.32,9.66E-08,NA,NA,NA,NA,NA,106
Volvox aureus,,green,freshwater,20,512,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,1.22,0.96,2.01E-07,NA,NA,NA,NA,NA,106
Volvox aureus,,green,freshwater,25,512,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,0.62,NA,NA,NA,NA,NA,NA,NA,106
Volvox aureus,,green,freshwater,30,512,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.2,0.82,3.68E-07,NA,NA,NA,NA,NA,106
Volvox globator,UTEX LB955,green,freshwater,5,512,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.84,2.40E-09,NA,NA,NA,NA,NA,106
Volvox globator,UTEX LB955,green,freshwater,10,512,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,1.03,0.19,4.08E-09,NA,NA,NA,NA,NA,106
Volvox globator,UTEX LB955,green,freshwater,15,512,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,1.24,1.53,2.24E-08,NA,NA,NA,NA,NA,106
Volvox globator,UTEX LB955,green,freshwater,20,512,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2.86,4.2,3.25E-08,NA,NA,NA,NA,NA,106
Volvox globator,UTEX LB955,green,freshwater,25,512,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,0.74,1.62,4.72E-08,NA,NA,NA,NA,NA,106
Volvox globator,UTEX LB955,green,freshwater,30,512,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,106
Cyclotella meneghiniana,,diatom,freshwater,25,210,16,,1058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,0.86,7.0143,NA,NA,NA,5.10E-07,NA,NA,NA,1.65,NA,NA,NA,NA,NA,3.94E-08,NA,NA,NA,107
Anabaena planktonica,,cyano,freshwater,20,250,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,2.51E-08,NA,NA,NA,NA,NA,108
Anabaena planktonica,,cyano,freshwater,18.5,250,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,1.26E-07,NA,3.68E-09,NA,NA,NA,108
Aphanizomenon flos-aquae,,cyano,freshwater,20,250,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,2.02E-09,NA,NA,NA,NA,NA,108
Aphanizomenon flos-aquae,,cyano,freshwater,18.5,250,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,1.21E-08,NA,3.14E-10,NA,NA,NA,108
Asterionella formosa,,diatom,freshwater,18,250,12,,402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,6.24E-08,NA,NA,NA,NA,NA,108
Asterionella formosa,,diatom,freshwater,18,250,12,,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,1.08E-07,NA,NA,NA,NA,NA,108
Asterionella formosa,,diatom,freshwater,20,250,12,,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,9.36E-08,NA,NA,NA,NA,NA,108
Asterionella formosa,,diatom,freshwater,19,250,12,,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,4.32E-07,NA,9.13E-09,NA,NA,NA,108
Fragilaria crotonensis,,diatom,freshwater,20,250,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,4.21E-08,NA,NA,NA,NA,NA,108
Fragilaria crotonensis,,diatom,freshwater,18.5,250,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,9.83E-08,NA,5.14E-09,NA,NA,NA,108
Synedra acus,,diatom,freshwater,18,250,12,,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,4.56E-08,NA,NA,NA,NA,NA,108
Synedra acus,,diatom,freshwater,18,250,12,,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,1.46E-07,NA,NA,NA,NA,NA,108
Synedra acus,,diatom,freshwater,20,250,12,,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,7.68E-08,NA,NA,NA,NA,NA,108
Synedra acus,,diatom,freshwater,19,250,12,,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,3.72E-07,NA,6.67E-09,NA,NA,NA,108
Synedra ulna,,diatom,freshwater,18,250,12,,5100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,4.94E-07,NA,NA,NA,NA,NA,108
Synedra ulna,,diatom,freshwater,18,250,12,,6068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,2.00E-06,NA,NA,NA,NA,NA,108
Synedra ulna,,diatom,freshwater,19,250,12,,3598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.41E-08,NA,NA,NA,108
Chlamydomonas acidophila,SAG 2045,green,freshwater,19.5,200,16,,114,3.90E-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,0.0017,0.7,2.04E-06,NA,2.30E-09,0.00059,NA,NA,109
Cosmarium abbreviatum var. planctonicum,,desmid,freshwater,20,70,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63E-06,NA,NA,NA,1.45E-06,NA,111
Staurastrum chaetoceros,,desmid,freshwater,20,70,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.26E-06,NA,NA,NA,5.25E-07,NA,111
Cosmarium abbreviatum var. planctonicum,,desmid,freshwater,20,70,24,,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,1.54,3.65E-06,NA,2.70E-08,NA,9.68E-07,NA,110
Staurastrum pingue,,desmid,freshwater,20,70,24,,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01,NA,6.89,4.04E-06,NA,3.00E-08,NA,5.35E-07,NA,110
Staurastrum chaetoceros,,desmid,freshwater,20,70,24,,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03,NA,4.09,2.60E-06,NA,2.60E-08,NA,NA,NA,110
Selenastrum capricornutum,,green,freshwater,20,300,24,,NA,NA,NA,NA,1.17,0.0029,NA,NA,NA,NA,NA,NA,NA,NA,1.23,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82
Skeletonema costatum,,diatom,marine,15,200,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA,0.68,9.22E-07,NA,2.80E-09,NA,NA,NA,112
Phaeodactylum tricornutum,,diatom,marine,24.5,300,12,,NA,1.20E-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.70E-08,0.043,NA,NA,NA,1.3,NA,NA,NA,NA,2.21E-09,0.0017,NA,NA,113
Chaetoceros gracilis,,diatom,marine,25,160,24,,NA,NA,NA,NA,3,NA,NA,NA,NA,2.60E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114
Dunaliella sp.,,green,marine,15,133,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115
Gymnodinium splendens,,dino,marine,18,133,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115
Dunaliella sp.,,green,marine,25,133,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115
Gymnodinium splendens,,dino,marine,25,133,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,6.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115
Asterionella formosa,,diatom,freshwater,20,100,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,0.006,NA,NA,NA,NA,NA,NA,NA,116
Fragilaria crotonensis,,diatom,freshwater,20,100,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.011,NA,NA,NA,NA,NA,NA,NA,116
Synedra filiformis,,diatom,freshwater,20,100,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,0.003,NA,NA,NA,NA,NA,NA,NA,116
Tabellaria flocculosa,,diatom,freshwater,20,100,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,0.008,NA,NA,NA,NA,NA,NA,NA,116
Asterionella formosa,,diatom,freshwater,20,100,14,,NA,NA,NA,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.61,0.02,2.35,2.76E-07,NA,1.75E-09,NA,NA,NA,117
Cyclotella meneghiniana,,diatom,freshwater,20,100,14,,NA,NA,NA,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0.54,0.25,0.8,1.32E-07,NA,1.07E-08,NA,NA,NA,117
Asterionella formosa,,diatom,freshwater,20,100,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
Synedra ulna,,diatom,freshwater,20,100,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
Pelagomonas calceolata,CCMP 1756,pelagophyte,marine,20,120,16,,14.137155,NA,NA,NA,0.34,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119
Prasinomonas capsulatus,CCMP 1617,green,marine,20,120,16,,33.51029333,NA,NA,NA,0.67,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,0.094,NA,NA,NA,NA,NA,NA,NA,119
Synechococcus sp.,CCMP 893,cyano,marine,20,120,16,,14.14,NA,NA,NA,0.44,2.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.014,NA,NA,NA,NA,NA,NA,NA,119
Asterionella formosa,,diatom,freshwater,20,100,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.028,NA,NA,NA,8.60E-09,NA,NA,NA,120
Fragilaria crotonensis,,diatom,freshwater,20,100,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79,0.045,NA,NA,NA,9.10E-09,NA,NA,NA,120
Stephanodiscus hantzschii,,diatom,freshwater,20,100,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.16,NA,NA,NA,6.92E-07,NA,NA,NA,120
Asterionella formosa,,diatom,freshwater,5,100,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.02,NA,NA,NA,9.50E-09,NA,NA,NA,120
Asterionella formosa,,diatom,freshwater,10,100,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,0.026,NA,NA,NA,7.40E-09,NA,NA,NA,120
Asterionella formosa,,diatom,freshwater,15,100,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,0.035,NA,NA,NA,8.60E-09,NA,NA,NA,120
Stephanodiscus hantzschii,,diatom,freshwater,5,100,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,0.2,NA,NA,NA,1.35E-08,NA,NA,NA,120
Stephanodiscus hantzschii,,diatom,freshwater,10,100,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,0.32,NA,NA,NA,2.51E-08,NA,NA,NA,120
Stephanodiscus hantzschii,,diatom,freshwater,15,100,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79,0.31,NA,NA,NA,8.55E-08,NA,NA,NA,120
Fragilaria crotonensis,,diatom,freshwater,5,100,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.034,NA,NA,NA,2.44E-08,NA,NA,NA,120
Fragilaria crotonensis,,diatom,freshwater,10,100,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.049,NA,NA,NA,1.27E-08,NA,NA,NA,120
Fragilaria crotonensis,,diatom,freshwater,15,100,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.05,NA,NA,NA,2.08E-08,NA,NA,NA,120
Phaeocystis pouchetii,,haptophyte,marine,10,100,10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,2.03E-07,NA,NA,NA,NA,NA,122
Phaeocystis pouchetii,,haptophyte,marine,10,100,10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.08,2.28E-07,NA,NA,NA,NA,NA,122
Limnothrix redekei,,cyano,freshwater,20,160,12,Oscillatoria redekei,27.77777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.8,NA,NA,NA,NA,1.44E-09,NA,9.70E-09,NA,127
Limnothrix redekei,,cyano,freshwater,5,160,12,Oscillatoria redekei,27.77777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.18,NA,NA,NA,NA,1.89E-09,NA,NA,NA,127
Limnothrix redekei,,cyano,freshwater,10,160,12,Oscillatoria redekei,27.77777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.35,NA,NA,NA,NA,1.36E-09,NA,2.88E-08,NA,127
Limnothrix redekei,,cyano,freshwater,15,160,12,Oscillatoria redekei,27.77777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.61,NA,NA,NA,NA,1.28E-09,NA,1.56E-08,NA,127
Navicula pelliculosa,SAG 1050-3,diatom,freshwater,20,120,15,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9,6.22E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123
Scenedesmus quadricauda,,green,freshwater,25,150,14,,NA,NA,NA,1.77,1.5,NA,NA,NA,NA,8.50E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126
Heterosigma akashiwo,,raphidophyte,marine,20,175,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.60E-08,NA,NA,NA,125
Dunaliella tertiolecta,CCMP 1320,green,marine,18,116,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17E-09,NA,NA,NA,128
Phaeodactylum tricornutum,CCMP 630,diatom,marine,18,116,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.70E-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29E-10,NA,NA,NA,128
Prymnesium parvum,CCMP 708,haptophyte,marine,18,116,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.76E-10,NA,NA,NA,128
Thalassiosira pseudonana,CCMP 1335,diatom,marine,18,116,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.60E-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10E-10,NA,NA,NA,128
Dunaliella tertiolecta,CCMP 1320,green,marine,18,58,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.72,1.32E-07,NA,NA,NA,NA,NA,128
Phaeodactylum tricornutum,CCMP 630,diatom,marine,18,58,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,4.61E-08,NA,NA,NA,NA,NA,128
Prymnesium parvum,CCMP 708,haptophyte,marine,18,58,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,3.46E-08,NA,NA,NA,NA,NA,128
Thalassiosira pseudonana,CCMP 1335,diatom,marine,18,58,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68,1.64E-07,NA,NA,NA,NA,NA,128
Gymnodinium mikimotoi,,dino,marine,25,150,12,,5575.275053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,NA,NA,NA,NA,NA,3.10E-06,NA,NA,NA,0.67,NA,NA,NA,NA,NA,2.50E-07,NA,NA,NA,130
Chattonella ovata,,raphidophyte,marine,25,200,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79,NA,NA,NA,NA,NA,5.50E-06,NA,NA,NA,0.86,NA,NA,NA,NA,NA,4.80E-07,NA,NA,NA,129
Heterocapsa circularisquama,,dino,marine,25,220,12,,2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,1.10E-06,NA,NA,NA,1.1,NA,NA,NA,NA,NA,8.94E-08,NA,NA,NA,131
Alexandrium tamarense,,dino,marine,15,200,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,NA,NA,2.6,3.36E-05,NA,5.60E-07,NA,2.02E-05,NA,132
Nitzschia sp. 3,,dino,marine,15,50,12,,187.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,NA,61.2,0.000164,NA,4.50E-08,NA,NA,NA,133
Gymnodinium catenatum,,dino,marine,25,300,12,,74000,NA,NA,NA,0.36,NA,33.6,8.09E-05,NA,3.10E-05,NA,NA,NA,NA,0.36,NA,7.6,0.000156,NA,3.10E-05,NA,NA,NA,0.37,NA,NA,3.4,3.41E-05,NA,1.83E-06,NA,NA,NA,134
Thalassiosira pseudonana,CCMP 1335,diatom,marine,18,100,24,,30,NA,NA,NA,3.67,NA,NA,4.61E-07,NA,3.38E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135
Planktothrix agardhii,,cyano,freshwater,20,NA,NA,Oscillatoria agardhii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136
Planktothrix agardhii,,cyano,freshwater,20,46,24,Oscillatoria agardhii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01,0.86,1.2,NA,NA,NA,NA,0.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137
Prorocentrum micans,,dino,marine,22.5,49,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.40E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.50E-08,NA,NA,NA,124
Karenia brevis,,dino,marine,25,NA,12,Gymnodinium breve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.18,NA,NA,NA,1.10E-07,NA,7.60E-07,NA,121
