#Organism Name,Organism Groups,Strain,BioSample,BioProject,Level,Size(Mb),CDS,Genes,Host,RefSeq category,tRNA
"Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1783","Bacteria;Proteobacteria;Gammaproteobacteria","USDA-ARS-USMARC-1783","SAMN02716860","PRJNA236652","Complete",4.8047,4626,4877,"human",,82
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J098","SAMN03702687","PRJNA279196","Complete",4.10747,3637,3975,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","MRSN346647","SAMN06067968","PRJNA353939","Complete",5.15861,4920,5292,"human",,88
"Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1727","Bacteria;Proteobacteria;Gammaproteobacteria","USDA-ARS-USMARC-1727","SAMN02716850","PRJNA236655","Complete",4.98054,4885,5150,"human",,82
"Shigella flexneri","Bacteria;Proteobacteria;Gammaproteobacteria","61-4982","SAMN08330275","PRJNA218110","Complete",4.69117,0,0,"human",,0
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","AR462","SAMN07291555","PRJNA316321","Complete",2.7772,2690,2864,"human",,59
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","AR376","SAMN07291519","PRJNA316321","Complete",5.67566,5416,5740,"human",,86
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","616","SAMN08391417","PRJNA431464","Complete",5.35956,5110,5353,"human",,84
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","SVH7513","SAMN08999370","PRJNA454172","Complete",2.94577,2931,3122,"human",,59
"Shigella flexneri","Bacteria;Proteobacteria;Gammaproteobacteria","74-1170","SAMN08330276","PRJNA218110","Complete",4.98483,0,0,"human",,0
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","C1","SAMN03252409","PRJNA269191","Complete",4.84302,4597,4900,"human",,84
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J100","SAMN03702688","PRJNA279196","Complete",4.10971,3628,3978,"human",,51
"Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1676","Bacteria;Proteobacteria;Gammaproteobacteria","USDA-ARS-USMARC-1676","SAMN02716848","PRJNA236658","Complete",4.67696,4507,4766,"human",,82
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J110","SAMN03702689","PRJNA279196","Complete",4.10638,3626,3972,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","C4","SAMN03252412","PRJNA269191","Complete",4.99048,4779,5050,"human",,87
"Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1677","Bacteria;Proteobacteria;Gammaproteobacteria","USDA-ARS-USMARC-1677","SAMN02716849","PRJNA236659","Complete",4.83639,4714,4956,"human",,82
"Shigella flexneri","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC 9728","SAMN08330277","PRJNA218110","Complete",4.64638,0,0,"human",,0
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","PTDrAP2","SAMN08999457","PRJNA454185","Complete",2.91677,2769,2981,"human",,60
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","DA33140","SAMN09245749","PRJNA472712","Complete",5.65721,5403,5680,"human",,88
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","DA33141","SAMN09245752","PRJNA472712","Complete",5.47781,5277,5588,"human",,87
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","IT1-S","SAMN08580535","PRJNA435512","Complete",2.80863,2697,2895,"human",,59
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","C10","SAMN03252417","PRJNA269191","Complete",5.02169,4793,5116,"human",,82
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J115","SAMN03702690","PRJNA279196","Complete",4.1064,3632,3975,"human",,51
"Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1728","Bacteria;Proteobacteria;Gammaproteobacteria","USDA-ARS-USMARC-1728","SAMN02716851","PRJNA236660","Complete",4.78349,4627,4862,"human",,82
"Bacillus anthracis","Bacteria;Terrabacteria group;Firmicutes","Cvac02","SAMN02898388","PRJNA252785","Complete",5.22717,5382,5510,"human",,95
"Bacillus anthracis","Bacteria;Terrabacteria group;Firmicutes","Han","SAMN02898318","PRJNA252784","Complete",5.22543,5513,5641,"human",,95
"Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1766","Bacteria;Proteobacteria;Gammaproteobacteria","USDA-ARS-USMARC-1766","SAMN02716856","PRJNA236665","Complete",4.75103,4577,4824,"human",,85
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","B201","SAMN04221179","PRJNA279196","Complete",4.12265,3627,3984,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","C11","SAMN03252418","PRJNA269191","Complete",5.41457,5156,5507,"human",,93
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","IT4-R","SAMN08580907","PRJNA435575","Complete",2.80863,2697,2895,"human",,59
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","DA33144","SAMN09245753","PRJNA472712","Complete",5.48246,5287,5596,"human",,89
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","MOK063","SAMN09254008","PRJNA472941","Complete",2.8088,2722,2907,"human",,59
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","203","SAMN05774083","PRJNA278886","Complete",5.38027,5151,5435,"human",,86
"Salmonella enterica subsp. enterica serovar Typhimurium str. CDC 2010K-1587","Bacteria;Proteobacteria;Gammaproteobacteria","CDC 2010K-1587","SAMN02716879","PRJNA236710","Complete",5.01619,4908,5204,"human",,84
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","D7","SAMN03252425","PRJNA269191","Complete",4.82778,4628,4943,"human",,87
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","B227","SAMN04221180","PRJNA279196","Complete",4.13443,3638,3989,"human",,51
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","C549","SAMN04221181","PRJNA279196","Complete",4.1064,3623,3968,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","D8","SAMN03252426","PRJNA269191","Complete",5.13065,4904,5249,"human",,89
"Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1781","Bacteria;Proteobacteria;Gammaproteobacteria","USDA-ARS-USMARC-1781","SAMN02716858","PRJNA236667","Complete",4.6357,4430,4669,"human",,84
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","MOK042","SAMN09253995","PRJNA472939","Complete",2.87614,2813,3007,"human",,59
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","CCUG 70742","SAMN07602587","PRJNA401330","Complete",5.39114,5168,5442,"human",,87
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","AR_0472","SAMN07291565","PRJNA316321","Complete",2.83691,2796,2950,"human",,59
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","TVGHCRE225","SAMN07672549","PRJNA408002","Complete",6.10794,5960,6317,"human",,85
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","H5","SAMN03252432","PRJNA269191","Complete",4.83323,4616,4935,"human",,83
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","C734","SAMN04221182","PRJNA279196","Complete",4.1022,3625,3968,"human",,51
"Salmonella enterica subsp. enterica serovar Typhimurium str. CDC 2011K-1702","Bacteria;Proteobacteria;Gammaproteobacteria","CDC 2011K-1702","SAMN02716880","PRJNA236712","Complete",5.00034,4860,5133,"human",,84
"Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1880","Bacteria;Proteobacteria;Gammaproteobacteria","USDA-ARS-USMARC-1880","SAMN02716867","PRJNA236703","Complete",4.81521,4657,4915,"human",,84
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","C757","SAMN04221183","PRJNA279196","Complete",4.10637,3622,3966,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","H6","SAMN03252433","PRJNA269191","Complete",4.83257,4615,4929,"human",,83
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0087","SAMN04014928","PRJNA292904","Complete",5.6264,5377,5752,"human",,90
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","AR_0223","SAMN04901613","PRJNA316321","Complete",2.87534,2869,3024,"human",,59
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","AR_0219","SAMN04901609","PRJNA316321","Complete",2.90354,2853,3046,"human",,59
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0140","SAMN04014981","PRJNA292902","Complete",5.5862,5322,5736,"human",,89
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","H7","SAMN03252434","PRJNA269191","Complete",4.80716,4560,4907,"human",,90
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","E194","SAMN04221184","PRJNA279196","Complete",4.10321,3619,3965,"human",,51
"Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1808","Bacteria;Proteobacteria;Gammaproteobacteria","USDA-ARS-USMARC-1808","SAMN02716861","PRJNA236699","Complete",5.03091,4917,5217,"human",,84
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","E602","SAMN04221185","PRJNA279196","Complete",4.10849,3634,3973,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","H10","SAMN03252436","PRJNA269191","Complete",4.80516,4619,4900,"human",,88
"Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1810","Bacteria;Proteobacteria;Gammaproteobacteria","USDA-ARS-USMARC-1810","SAMN02716863","PRJNA236651","Complete",4.92715,4766,5045,"human",,84
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","AR_0216","SAMN04901606","PRJNA316321","Complete",2.95126,2960,3130,"human",,59
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","CDC 0106","SAMN07373332","PRJNA395223","Complete",5.79457,5495,5880,"human",,83
"Klebsiella pneumoniae subsp. pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","11219","SAMN09476129","PRJNA477658","Complete",5.37714,5143,5461,"human",,87
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","AR_0470","SAMN07291563","PRJNA316321","Complete",2.96366,2838,3046,"human",,59
"Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1898","Bacteria;Proteobacteria;Gammaproteobacteria","USDA-ARS-USMARC-1898","SAMN02716871","PRJNA236707","Complete",5.01008,4876,5127,"human",,84
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","C2","SAMN03252410","PRJNA269191","Complete",4.81824,4653,4924,"human",,82
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","H382","SAMN04221186","PRJNA279196","Complete",4.10639,3627,3973,"human",,51
"Salmonella enterica subsp. enterica serovar Typhimurium str. CDC 2009K-2059","Bacteria;Proteobacteria;Gammaproteobacteria","CDC 2009K-2059","SAMN02716878","PRJNA236714","Complete",4.82379,4663,4904,"human",,85
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","H682","SAMN04221187","PRJNA279196","Complete",4.10431,3630,3971,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","C3","SAMN03252411","PRJNA269191","Complete",5.41327,5368,5753,"human",,90
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","AR_0471","SAMN07291564","PRJNA316321","Complete",2.83399,2742,2924,"human",,59
"Klebsiella pneumoniae subsp. pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","12208","SAMN09476115","PRJNA477655","Complete",5.21421,4939,5183,"human",,82
"Klebsiella pneumoniae subsp. pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","SC-7","SAMN09487268","PRJNA477912","Complete",5.76893,5431,5728,"human",,72
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","AR_0473","SAMN07291566","PRJNA316321","Complete",2.83443,2796,2949,"human",,59
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","C5","SAMN03252413","PRJNA269191","Complete",5.63396,5485,5922,"human",,90
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","H698","SAMN04221188","PRJNA279196","Complete",4.10414,3629,3971,"human",,51
"Salmonella enterica subsp. enterica serovar Typhimurium str. CDC 2009K-1640","Bacteria;Proteobacteria;Gammaproteobacteria","CDC 2009K-1640","SAMN02716877","PRJNA236713","Complete",5.02773,4919,5186,"human",,84
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","H706","SAMN04221189","PRJNA279196","Complete",4.10509,3629,3971,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","C8","SAMN03252415","PRJNA269191","Complete",5.09612,4883,5233,"human",,89
"Salmonella enterica subsp. enterica serovar Typhimurium str. CDC H2662","Bacteria;Proteobacteria;Gammaproteobacteria","CDC H2662","SAMN02716865","PRJNA236709","Complete",4.97843,4856,5123,"human",,84
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","AR_0467","SAMN07291560","PRJNA316321","Complete",2.93788,2854,3105,"human",,59
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","AR_362","SAMN07291505","PRJNA316321","Complete",5.70934,5589,5869,"human",,87
"Klebsiella pneumoniae subsp. pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","KC-Pl-HB1","SAMN09638204","PRJNA480538","Complete",5.46472,5203,5513,"human",,89
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","AR_0225","SAMN04901615","PRJNA316321","Complete",2.92494,2922,3098,"human",,59
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","C9","SAMN03252416","PRJNA269191","Complete",4.67746,4420,4879,"human",,82
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","H730","SAMN04221190","PRJNA279196","Complete",4.1022,3618,3961,"human",,51
"Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1896","Bacteria;Proteobacteria;Gammaproteobacteria","USDA-ARS-USMARC-1896","SAMN02716869","PRJNA236705","Complete",5.00374,4879,5187,"human",,85
"Salmonella enterica subsp. diarizonae","Bacteria;Proteobacteria;Gammaproteobacteria","11-01855","SAMN03371466","PRJNA276399","Complete",4.77935,4317,4673,"human",,85
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","H771","SAMN04221191","PRJNA279196","Complete",4.10534,3622,3969,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","D1","SAMN03252419","PRJNA269191","Complete",5.20733,5043,5449,"human",,86
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","AR_0469","SAMN07291562","PRJNA316321","Complete",2.88452,2827,2998,"human",,59
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","F1","SAMN08378650","PRJNA430804","Complete",5.68289,5545,5852,"human",,85
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","S12","SAMN04448505","PRJNA302185","Complete",6.07471,5719,6261,"human",,86
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","AR_0215","SAMN04901605","PRJNA316321","Complete",2.9374,2927,3101,"human",,59
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","D2","SAMN03252420","PRJNA269191","Complete",4.87691,4707,5057,"human",,89
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J178","SAMN04221192","PRJNA279196","Complete",4.10742,3625,3976,"human",,51
"Salmonella enterica subsp. diarizonae","Bacteria;Proteobacteria;Gammaproteobacteria","11-01853","SAMN03371464","PRJNA276399","Complete",4.86945,4442,4803,"human",,85
"Salmonella enterica subsp. diarizonae","Bacteria;Proteobacteria;Gammaproteobacteria","11-01854","SAMN03371465","PRJNA276399","Complete",4.8694,4443,4804,"human",,85
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J179","SAMN04221193","PRJNA279196","Complete",4.11373,3632,3980,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","D3","SAMN03252421","PRJNA269191","Complete",5.23617,5114,5496,"human",,91
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","CHU15-056","SAMN06560523","PRJNA378176","Complete",2.77347,2709,2883,"human",,59
"Klebsiella pneumoniae subsp. pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","M5","SAMN09845872","PRJNA486427","Complete",5.8849,5588,5915,"human",,85
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","160111","SAMN09279554","PRJNA473597","Complete",5.8051,5659,6022,"human",,85
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","AR_0226","SAMN04901616","PRJNA316321","Complete",2.90767,2892,3057,"human",,59
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","D4","SAMN03252422","PRJNA269191","Complete",4.93546,4714,5078,"human",,86
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J191","SAMN04221194","PRJNA279196","Complete",4.11165,3624,3975,"human",,51
"Salmonella enterica subsp. enterica serovar Enteritidis","Bacteria;Proteobacteria;Gammaproteobacteria","OLF-00D989 87-1","SAMN03328998","PRJNA274686","Complete",4.74433,4568,4838,"human",,83
"Salmonella enterica","Bacteria;Proteobacteria;Gammaproteobacteria","C629","SAMN04961653","PRJNA320977","Complete",5.00183,4773,5129,"human",,84
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J192","SAMN04221195","PRJNA279196","Complete",4.11269,3631,3979,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","D5","SAMN03252423","PRJNA269191","Complete",5.01909,4820,5198,"human",,89
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","AR_0468","SAMN07291561","PRJNA316321","Complete",2.93853,2927,3098,"human",,59
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","KSB1_1I-sc-2280289","SAMEA3357358","PRJNA486877","Complete",5.50583,5236,5537,"human",,87
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","MSB1_8A-sc-2280397","SAMEA3357466","PRJNA486877","Complete",6.10991,5947,6294,"human",,88
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","AR_0228","SAMN04901618","PRJNA316321","Complete",2.92276,2839,3066,"human",,59
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","D6","SAMN03252424","PRJNA269191","Complete",4.91085,4729,5048,"human",,85
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J193","SAMN04221196","PRJNA279196","Complete",4.10533,3624,3971,"human",,51
"Salmonella enterica subsp. enterica serovar Heidelberg","Bacteria;Proteobacteria;Gammaproteobacteria","SH12-007","SAMN04334633","PRJNA305824","Complete",4.79124,4626,4872,"human",,84
"Salmonella enterica subsp. enterica serovar Heidelberg","Bacteria;Proteobacteria;Gammaproteobacteria","SH12-003","SAMN04334629","PRJNA305824","Complete",4.79124,4626,4872,"human",,84
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J194","SAMN04221197","PRJNA279196","Complete",4.10638,3624,3973,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","D9","SAMN03252427","PRJNA269191","Complete",4.87428,4648,5006,"human",,93
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","AR_0222","SAMN04901612","PRJNA316321","Complete",2.71949,2620,2784,"human",,59
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","INF206-sc-2280074","SAMEA3357145","PRJNA486877","Complete",5.59626,5342,5640,"human",,87
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","KSB1_7F-sc-2280268","SAMEA3357337","PRJNA486877","Complete",5.41986,5166,5455,"human",,88
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","AR_0220","SAMN04901610","PRJNA316321","Complete",2.85541,2778,2963,"human",,59
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","D10","SAMN03252428","PRJNA269191","Complete",5.24768,5020,5452,"human",,96
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J197","SAMN04221198","PRJNA279196","Complete",4.10742,3625,3973,"human",,51
"Salmonella enterica subsp. enterica serovar Heidelberg","Bacteria;Proteobacteria;Gammaproteobacteria","SH14-028","SAMN04334672","PRJNA305824","Complete",4.79396,4642,4889,"human",,84
"Salmonella enterica subsp. enterica serovar Heidelberg","Bacteria;Proteobacteria;Gammaproteobacteria","11-004736-1-7","SAMN05263553","PRJNA298211","Complete",4.88814,4749,5004,"human",,84
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J201","SAMN04221199","PRJNA279196","Complete",4.10328,3625,3972,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","H1","SAMN03252429","PRJNA269191","Complete",4.82658,4557,4994,"human",,91
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","CMRSA-3","SAMN08717045","PRJNA438470","Complete",2.95821,2947,3122,"human",,60
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","INF014-sc-2279884","SAMEA3356957","PRJNA486877","Complete",5.52397,5250,5524,"human",,86
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","INF116-sc-2279924","SAMEA3356997","PRJNA486877","Complete",5.46561,5185,5475,"human",,86
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","CMRSA-6","SAMN08717048","PRJNA438472","Complete",3.04472,3037,3216,"human",,59
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","H2","SAMN03252430","PRJNA269191","Complete",4.57786,4294,4822,"human",,91
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J225","SAMN04221200","PRJNA279196","Complete",4.10629,3629,3975,"human",,51
"Salmonella enterica subsp. enterica serovar Heidelberg","Bacteria;Proteobacteria;Gammaproteobacteria","CE-R2-11-0435","SAMN05263538","PRJNA298211","Complete",4.888,4754,5009,"human",,83
"Salmonella enterica subsp. enterica serovar Heidelberg","Bacteria;Proteobacteria;Gammaproteobacteria","SA01AB09084001","SAMN05263504","PRJNA298211","Complete",4.88537,4746,5006,"human",,84
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J296","SAMN04383599","PRJNA279196","Complete",4.10743,3625,3975,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","H3","SAMN03252431","PRJNA269191","Complete",4.67916,4502,4797,"human",,85
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","AR_475","SAMN07291568","PRJNA316321","Complete",2.81744,2697,2879,"human",,59
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","QMP B2-170","SAMEA882196","PRJNA486877","Complete",5.42023,5171,5458,"human",,90
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","INF125-sc-2279943","SAMEA3357016","PRJNA486877","Complete",5.45682,5177,5465,"human",,89
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","AR_474","SAMN07291567","PRJNA316321","Complete",2.93694,2926,3094,"human",,59
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","H8","SAMN03252435","PRJNA269191","Complete",5.13721,4921,5348,"human",,87
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J300","SAMN04383600","PRJNA279196","Complete",4.10533,3624,3975,"human",,51
"Salmonella enterica subsp. enterica serovar Heidelberg","Bacteria;Proteobacteria;Gammaproteobacteria","SA02DT09004001","SAMN05263513","PRJNA298211","Complete",4.89199,4744,5008,"human",,83
"Salmonella enterica subsp. enterica serovar Heidelberg","Bacteria;Proteobacteria;Gammaproteobacteria","09-036813-1A","SAMN05263546","PRJNA298211","Complete",5.06248,4905,5177,"human",,84
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J305","SAMN04383601","PRJNA279196","Complete",4.11166,3638,3978,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","H14","SAMN03252437","PRJNA269191","Complete",4.73549,4539,4810,"human",,83
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","E16SA093","SAMN09668080","PRJNA481439","Complete",2.78556,2707,2882,"human",,59
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","ZYST1","SAMN09691066","PRJNA483353","Complete",5.58885,4956,5263,"human",,87
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","F17SA003","SAMN09668081","PRJNA481439","Complete",2.76835,2710,2872,"human",,59
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","S3","SAMN03252450","PRJNA269191","Complete",4.63237,4480,4773,"human",,90
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J311","SAMN04383602","PRJNA279196","Complete",4.10324,3625,3971,"human",,51
"Salmonella enterica subsp. enterica serovar Heidelberg","Bacteria;Proteobacteria;Gammaproteobacteria","A3EZ223","SAMN05277890","PRJNA298211","Complete",4.78892,4626,4875,"human",,84
"Salmonella enterica subsp. enterica serovar Heidelberg","Bacteria;Proteobacteria;Gammaproteobacteria","AMR588-04-00435","SAMN05263516","PRJNA298211","Complete",4.7914,4623,4874,"human",,84
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","C975","SAMN04383559","PRJNA279196","Complete",4.1044,3620,3965,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","S21","SAMN03252452","PRJNA269191","Complete",4.73362,4541,4809,"human",,83
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","FORC_061","SAMN07372047","PRJNA395147","Complete",2.74962,2682,2839,"human",,60
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0076","SAMN04014917","PRJNA292904","Complete",5.5952,5438,5767,"human",,88
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0135","SAMN04014976","PRJNA292902","Complete",5.52541,5308,5618,"human",,86
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","FORC_062","SAMN07407571","PRJNA395485","Complete",2.90535,2852,3043,"human",,59
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","S40","SAMN03252454","PRJNA269191","Complete",5.39918,5216,5529,"human",,112
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","E368","SAMN04383560","PRJNA279196","Complete",4.10428,3615,3969,"human",,51
"Salmonella enterica subsp. enterica serovar Heidelberg","Bacteria;Proteobacteria;Gammaproteobacteria","SH13-006","SAMN04334642","PRJNA305824","Complete",4.78803,4623,4873,"human",,84
"Salmonella enterica subsp. enterica serovar Heidelberg","Bacteria;Proteobacteria;Gammaproteobacteria","A3ES40","SAMN05277889","PRJNA298211","Complete",4.78892,4626,4874,"human",,84
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","F501","SAMN04383561","PRJNA279196","Complete",4.10117,3622,3962,"human",,51
