rRNA16S,Habitat,Oxygen,Motility,Spore,Pigment,Shape,Aggregation,Gram,GC,Length,Width,pH_optimum,Temp_optimum,Salt_optimum
AJ632157,food product,facultative anaerobe,non-motile,no,yes,rod,chain,positive,54,11,1,NA,7.5,3.5
AY649762,hypersaline environment,obligate aerobe,non-motile,no,NA,rod,NA,negative,57.4,1.4,1.05,7,28,2.5
"AM947652,",freshwater sediment,obligate aerobe,non-motile,no,NA,ovoid/coccobacillus,chain,negative,61.9,NA,NA,5.1,18.5,0.75
AM947653,freshwater sediment,obligate aerobe,non-motile,no,NA,ovoid/coccobacillus,chain,negative,NA,NA,NA,5.75,22.5,1.25
AB265205,soil,facultative anaerobe,flagella,yes,yes,rod,NA,positive,52.7,NA,NA,7.5,37,NA
"AB265206,",soil,facultative anaerobe,flagella,yes,yes,rod,NA,positive,52.9,NA,NA,7.5,37,1.5
AY619712,soil,obligate aerobe,non-motile,yes,yes,rod,chain,positive,68.1,NA,NA,7.2,29,6.5
AY619713,soil,obligate aerobe,non-motile,yes,yes,rod,chain,positive,67.9,NA,NA,7.2,38.5,6.5
AY619714,soil,obligate aerobe,non-motile,yes,yes,rod,chain,positive,69,NA,NA,7.2,38.5,6.5
AY619715,soil,obligate aerobe,non-motile,yes,yes,rod,chain,positive,71.8,NA,NA,7.2,38.5,6.5
AY619716,soil,obligate aerobe,non-motile,yes,yes,rod,chain,positive,73.2,NA,NA,7.2,38.5,6.5
AY995147,soil,obligate aerobe,non-motile,yes,yes,rod,chain,positive,NA,NA,NA,8,37.5,2.5
AY995146,soil,obligate aerobe,non-motile,yes,yes,rod,chain,positive,NA,NA,NA,8,33.5,2
AY876942,soil,obligate aerobe,non-motile,yes,yes,rod,chain,positive,72.7,NA,NA,6.5,33.5,0
AY876943,soil,obligate aerobe,non-motile,yes,yes,rod,chain,positive,74.8,NA,NA,6.5,33.5,0
AY876941,soil,obligate aerobe,non-motile,yes,yes,rod,chain,positive,70.6,NA,NA,6.25,33.5,0
AY876940,soil,obligate aerobe,non-motile,yes,yes,rod,chain,positive,74.8,NA,NA,6.25,33.5,0
AY894336,seawater,obligate aerobe,non-motile,yes,yes,ovoid/coccobacillus,chain,positive,65.4,NA,NA,7,28,6
DQ124681,other,obligate aerobe,non-motile,yes,yes,rod,chain,positive,48.2,3,1,2,40,0
AM050346,other,anaerobic,non-motile,yes,yes,rod,chain,positive,34.5,4.5,0.25,7,55,2.5
DQ026060,soil,obligate aerobe,flagella,no,yes,rod,chain,positive,41.6,2.5,0.7,9,37,5
AY769997,other,facultative anaerobe,non-motile,no,yes,cocci,chain,positive,NA,NA,1.85,7,37,2
AJ698725,other,obligate aerobe,non-motile,no,yes,rod,NA,positive,NA,NA,NA,NA,33.5,3
AJ698726,soil,obligate aerobe,"motile, but unspecified structure",no,yes,rod,NA,positive,NA,NA,NA,NA,33.5,3
AM286230,other,obligate aerobe,non-motile,no,yes,rod,NA,negative,36.2,0.9,0.4,7.1,27.5,2.5
AY263403,other,anaerobic,flagella,no,yes,rod,NA,negative,54.6,1,0.6,5.5,75,2
DQ453129,other,facultative anaerobe,"motile, but unspecified structure",no,no,rod,NA,positive,55.7,1.25,0.6,7,31.5,0.5
AY243096,plant associated,obligate aerobe,gliding,no,yes,rod,NA,negative,37.35,4.9,0.45,7.7,22,3.5
AM283543,freshwater,obligate aerobe,non-motile,no,NA,rod,NA,negative,61.5,2.7,1,6,25,NA
AB236170,soil,obligate aerobe,"motile, but unspecified structure",no,NA,rod,NA,negative,65,NA,NA,6.5,23.5,NA
AB236169,plant associated,obligate aerobe,"motile, but unspecified structure",no,NA,rod,NA,negative,62.3,NA,NA,6.5,23.5,NA
KC005305,seawater,obligate aerobe,NA,NA,yes,rod,clump,negative,40.8,3.25,0.6,7.5,36,2
KC571459,plant associated,obligate aerobe,non-motile,NA,yes,rod,clump,negative,40.3,1.9,0.5,6.5,26.5,0
JX458466,built environment,obligate aerobe,non-motile,NA,yes,NA,NA,negative,42,NA,NA,6.5,30,NA
DQ462462,soil,obligate aerobe,gliding,NA,NA,rod,NA,negative,66.6,3,0.55,7,28,0.5
DQ462461,soil,obligate aerobe,NA,NA,NA,ovoid/coccobacillus,NA,negative,62.5,3.5,0.5,6.5,28,0.5
HE793031,freshwater,obligate aerobe,non-motile,no,yes,rod,NA,negative,42.2,14,0.4,8,25,0
EU011596,freshwater,obligate aerobe,NA,yes,yes,cocci,none,NA,NA,5.5,3.25,NA,NA,NA
JQ769312,marine sediment,NA,NA,NA,yes,ovoid/coccobacillus,none,NA,NA,4.85,3,NA,NA,NA
KC836088,soil,NA,NA,NA,yes,ovoid/coccobacillus,none,NA,NA,4,2.5,NA,25,NA
KC776265,other,NA,NA,no,yes,ovoid/coccobacillus,NA,NA,NA,2.5,2.5,3,25,NA
JN107635,other,anaerobic,flagella,no,yes,rod,NA,negative,47.4,1.5,0.15,7,32.5,0.116
JQ237122,hypersaline environment,obligate aerobe,"motile, but unspecified structure",NA,yes,NA,clump,negative,65.8,NA,NA,8,37,18
JN571120,soil,obligate aerobe,NA,NA,yes,ovoid/coccobacillus,clump,negative,62.5,8.5,0.9,8,37,17.4
KC608769,other,anaerobic,non-motile,NA,NA,rod,none,positive,28,1.65,0.6,6.75,38.5,NA
AB372515,food product,obligate aerobe,non-motile,NA,yes,NA,clump,negative,61.1,NA,NA,5.35,45,19.5
AB436897,freshwater,anaerobic,non-motile,NA,NA,ovoid/coccobacillus,NA,negative,62.9,1.15,1.15,6.75,39.5,0.87
HF570029,soil,obligate aerobe,non-motile,no,yes,cocci,clump,positive,64.3,0.75,0.75,7,29,1.5
DQ191178,soil,obligate aerobe,non-motile,no,yes,rod,chain,negative,61.7,3.5,NA,7,28,1.5
DQ191179,soil,obligate aerobe,non-motile,no,yes,rod,chain,negative,67.3,3.5,0.5,7.5,35,0
AB121221,other,obligate aerobe,flagella,no,yes,rod,chain,negative,65.9,1.2,0.45,7,27,0.5
AB054961,other,obligate aerobe,flagella,no,yes,rod,chain,negative,65.2,1.2,0.45,7,27,0.5
AF176594,other,facultative aerobe,flagella,no,yes,rod,chain,negative,69,1.5,0.5,6.5,30,0
U73721,seawater,facultative anaerobe,non-motile,no,yes,rod,chain,negative,40,10,1.375,7,NA,6.5
AY649785,other,anaerobic,flagella,no,yes,ovoid/coccobacillus,chain,NA,64.7,1.65,0.65,9.2,43,3.5
AB166882,other,obligate aerobe,flagella,no,yes,rod,chain,negative,65.6,1.95,0.9,7,27.5,0
AY551089,seawater,facultative anaerobe,flagella,no,yes,rod,chain,negative,49.8,1.7,0.7,7,28,1.5
DQ011529,seawater,obligate aerobe,non-motile,no,yes,ovoid/coccobacillus,chain,negative,65.8,1.5,0.5,7.5,36,2
AY686710,soil,obligate aerobe,non-motile,no,yes,rod,chain,negative,64,1.125,0.5,7,33.5,2
AY835388,marine sediment,anaerobic,flagella,no,yes,rod,chain,negative,50.1,2.75,0.7,7.3,14,2.6
AY835392,marine sediment,anaerobic,flagella,no,yes,rod,chain,negative,52.3,4,0.85,7.15,15.5,3.3
AB107231,soil,obligate aerobe,non-motile,yes,yes,NA,NA,positive,71.5,NA,NA,NA,27.5,NA
AY427832,built environment,facultative anaerobe,flagella,yes,NA,rod,NA,positive,50.5,3.95,1.525,7,37,NA
AY437845,other,obligate aerobe,"motile, but unspecified structure",no,NA,cocci,clump,positive,40,NA,NA,8.3,25,NA
AY553296,other,obligate aerobe,flagella,yes,yes,rod,NA,positive,41,NA,0,8,32.5,3.5
AB222699,human - fecal,anaerobic,non-motile,no,yes,rod,chain,negative,42.7,3,0.8,7,37,0
DQ185611,other,facultative anaerobe,gliding,no,yes,rod,chain,negative,44.5,1.55,0.35,7,26.5,6
AB206954,marine sediment,obligate aerobe,non-motile,no,NA,rod,chain,negative,37,4,0.6,NA,17.5,0
AY904352,other,obligate aerobe,non-motile,no,yes,rod,chain,negative,36.9,3.5,0.35,9.5,37,0
DQ178976,soil,obligate aerobe,non-motile,no,yes,rod,chain,negative,36.9,2,0.45,7,25,0.25
DQ001321,other,obligate aerobe,non-motile,no,yes,rod,chain,negative,29.8,1.12,0.46,7.25,30,1
DQ080995,marine sediment,obligate aerobe,gliding,no,no,rod,chain,negative,42.5,1.5,0.5,8.5,29,0
DQ080996,marine sediment,obligate aerobe,gliding,no,no,rod,chain,negative,43.7,2,0.5,8.5,25,0
AB192292,soil,obligate aerobe,non-motile,no,yes,rod,chain,negative,47.2,2,0.4,7,28.5,0
KC806052,plant associated,obligate aerobe,non-motile,no,yes,ovoid/coccobacillus,none,positive,53.2,1,0.75,7.5,35,0.25
JX524154,other,obligate aerobe,NA,yes,yes,cocci,NA,positive,72.4,NA,NA,8,30,3
AB529446,soil,NA,"motile, but unspecified structure",yes,yes,ovoid/coccobacillus,NA,positive,72.9,NA,NA,NA,29,NA
HE580230,other,facultative anaerobe,non-motile,NA,NA,cocci,NA,positive,71.6,1,1,NA,NA,NA
JQ639054,soil,obligate aerobe,non-motile,no,yes,rod,NA,positive,64,1.45,0.6,7,29,NA
KC010490,marine sediment,NA,non-motile,no,yes,ovoid/coccobacillus,NA,positive,64.1,NA,NA,7,28,1
KC010491,soil,NA,non-motile,no,yes,ovoid/coccobacillus,NA,positive,62.8,NA,NA,7,31,1.5
JX294478,freshwater sediment,obligate aerobe,"motile, but unspecified structure",NA,yes,rod,none,positive,73.2,1.95,0.75,7,28,0
KC550143,plant associated,obligate aerobe,non-motile,no,yes,rod,NA,positive,65.4,1.35,0.65,7,28,0.5
GU815139,plant associated,obligate aerobe,non-motile,no,yes,rod,clump,positive,65.3,NA,NA,7,30,1.16
JX555983,marine sediment,facultative anaerobe,non-motile,no,NA,rod,NA,positive,73.2,2,1,8.5,50,2
JQ306329,soil,NA,NA,yes,no,NA,chain,positive,69.1,NA,NA,7,28,NA
HF570028,soil,obligate aerobe,non-motile,NA,yes,rod,clump,positive,66.3,1.33,0.485,7.5,29,1
JX861483,human - mouth,facultative anaerobe,NA,no,yes,cocci,NA,positive,40.9,NA,NA,NA,31,NA
FJ474084,hotspring,obligate aerobe,"motile, but unspecified structure",yes,yes,rod,NA,positive,39.2,5,0.9,7.25,58.5,0.25
DQ673873,plant associated,obligate aerobe,non-motile,NA,yes,rod,NA,positive,71.2,1,0.3,7,30,NA
AF445297,other,anaerobic,non-motile,no,yes,cocci,chain,positive,44.5,NA,NA,NA,37,NA
AY254039,other,NA,flagella,NA,yes,rod,none,negative,42.8,2.2,NA,NA,22,5
HF563589,other,anaerobic,NA,yes,NA,rod,none,variable,54.6,2.5,0.8,7.5,65,NA
KC311557,soil,obligate aerobe,NA,yes,no,NA,chain,positive,56.3,NA,NA,6.75,50,1.25
JQ798970,other,obligate aerobe,non-motile,yes,yes,rod,NA,positive,37.8,NA,NA,NA,43.5,NA
JF411966,food product,obligate aerobe,NA,no,NA,rod,NA,positive,38.9,NA,NA,6.3,30,NA
JN036548,soil,obligate aerobe,"motile, but unspecified structure",yes,yes,rod,NA,positive,41.1,3.05,1.05,8,30,0
JQ771468,marine sediment,anaerobic,NA,yes,NA,rod,NA,positive,35.8,4.6,0.85,6.75,36,2.5
AB736274,other,facultative anaerobe,flagella,yes,yes,rod,clump,positive,38.4,2.35,0.35,9,36,1.5
AM229324,soil,NA,flagella,no,NA,rod,NA,negative,70.95,1.4,0.45,7,30,NA
AF406554,hypersaline environment,facultative anaerobe,flagella,NA,no,rod,NA,negative,67.5,2,0.4,9.3,30,NA
DQ097523,marine sediment,facultative anaerobe,flagella,NA,yes,rod,NA,negative,NA,2.5,0.7,6.9,27.5,3
AB010909,marine sediment,obligate aerobe,non-motile,NA,yes,rod,NA,positive,NA,NA,NA,NA,28,NA
AB264057,seawater,obligate aerobe,gliding,no,yes,rod,NA,negative,46.5,2.55,0.3,7.5,29,4
DQ981486,other,anaerobic,flagella,NA,no,ovoid/coccobacillus,NA,negative,64.9,1.35,0.65,7.5,37,2
AY918928,other,facultative anaerobe,non-motile,no,no,rod,NA,negative,44.9,11.5,0.33,7,22,2
U64013,seawater,obligate aerobe,gliding,NA,NA,rod,NA,negative,36.3,NA,NA,NA,24,2.5
AB248285,other,obligate aerobe,non-motile,no,no,rod,NA,negative,68.3,NA,NA,NA,26.5,2
DQ822530,seawater,obligate aerobe,"motile, but unspecified structure",no,yes,rod,NA,negative,51.9,2,0.65,NA,29,5
DQ411541,other,obligate aerobe,non-motile,no,yes,rod,NA,positive,72.7,2.15,0.5,7.1,30,2.5
AY93550,soil,obligate aerobe,"motile, but unspecified structure",yes,yes,rod,NA,positive,41.4,2.4,0.65,8,25,6
DQ114945,other,anaerobic,flagella,yes,no,rod,none,positive,30.8,6,0.75,7.25,35,0
AY769083,soil,obligate aerobe,non-motile,no,NA,rod,NA,negative,69.9,1.1,0.7,NA,27.5,NA
DQ841177,other,anaerobic,"motile, but unspecified structure",NA,NA,rod,NA,negative,67.2,4,0.5,6.9,37,NA
AM397630,other,obligate aerobe,non-motile,no,NA,rod,NA,negative,50.6,NA,NA,NA,NA,NA
DQ469580,hypersaline environment,anaerobic,non-motile,NA,NA,rod,NA,negative,59,4,0.45,7.75,NA,1.75
DQ469581,hypersaline environment,anaerobic,non-motile,NA,NA,rod,NA,negative,62.9,3,0.5,7.9,NA,1
AY818050,other,facultative anaerobe,flagella,no,no,rod,chain,positive,50.4,6,0.75,7,45,2
EF144149,hypersaline environment,obligate aerobe,"motile, but unspecified structure",NA,NA,cocci,NA,negative,65.9,3,1,7.5,30,5.25
DQ307735,other,microaerophile,flagella,no,NA,rod,NA,negative,38.5,0.95,0.3,NA,37,NA
EF144147,hypersaline environment,obligate aerobe,"motile, but unspecified structure",NA,NA,rod,NA,negative,56.7,3,0.75,7.5,30,3
EF144148,hypersaline environment,obligate aerobe,"motile, but unspecified structure",NA,NA,rod,NA,negative,57.6,4,0.75,7.5,30,3
EU219865,plant associated,NA,"motile, but unspecified structure",NA,yes,rod,clump,negative,61.2,2,0.9,NA,28,NA
HF549035,plant associated,NA,"motile, but unspecified structure",NA,yes,rod,clump,negative,61.6,3,0.9,NA,28,NA
AB778530,soil,obligate aerobe,non-motile,no,yes,rod,NA,negative,66.5,1.1,0.75,NA,25,NA
AB778531,soil,obligate aerobe,flagella,no,yes,rod,NA,negative,66.6,1.1,0.75,NA,25,NA
AB778526,soil,obligate aerobe,flagella,no,no,rod,NA,negative,65.4,1.6,0.75,NA,25,NA
GU199003,marine sediment,obligate aerobe,flagella,no,yes,ovoid/coccobacillus,NA,negative,56.9,1.1,0.6,7,32.5,1
FN686779,wastewater,facultative anaerobe,NA,no,yes,rod,NA,negative,58,1.5,1.5,2.1,29,NA
JN104393,freshwater,facultative anaerobe,non-motile,no,yes,rod,clump,negative,63.5,2,0.45,7,27.5,0.25
KC999854,soil,obligate aerobe,NA,NA,yes,rod,clump,negative,68.3,0.25,0.15,8,45,0.5
DQ490985,other,obligate aerobe,NA,NA,yes,rod,clump,negative,63.4,1.5,1.1,6,30,NA
JX994294,seawater,obligate aerobe,flagella,NA,yes,rod,clump,negative,52.4,2.25,0.3,7.25,25,0
AJ551089,marine sediment,facultative anaerobe,flagella,NA,yes,rod,NA,negative,51,3.5,0.65,7,12.5,3.5
AJ551090,marine sediment,facultative anaerobe,flagella,NA,yes,rod,NA,negative,49,3.5,0.65,7,17.5,3.5
AM259119,food product,facultative anaerobe,non-motile,no,no,rod,none,positive,52,6,0.75,NA,15,NA
EU869190,other,NA,non-motile,NA,yes,rod,NA,negative,32.5,1,2.55,NA,15,0.5
KC311338,marine sediment,NA,non-motile,no,yes,rod,clump,negative,58.1,2.45,0.6,7.5,25,2
KC136313,other,obligate aerobe,non-motile,NA,yes,rod,clump,negative,46.3,2.7,0.55,8,26.5,2.25
AFRZ01000001,seawater,facultative anaerobe,flagella,NA,NA,spirillum/corkscrew,NA,negative,33.6,2.1,0.66,7.35,15,1.5
EU488742,plant associated,obligate aerobe,NA,no,yes,rod,clump,negative,59.9,NA,NA,6,26.5,NA
GQ369962,seawater,obligate aerobe,"motile, but unspecified structure",no,yes,rod,NA,negative,53.67,2.15,0.85,7.5,25,3.25
JN873915,other,facultative anaerobe,non-motile,NA,yes,rod,clump,negative,56.1,NA,NA,6,37,1.5
JQ781698,marine sediment,obligate aerobe,flagella,NA,yes,rod,clump,negative,61.1,1.05,0.4,7,35,5
KC513819,wastewater,anaerobic,flagella,no,NA,rod,NA,negative,70,6,0.5,7.1,40,0.2
KC196071,other,obligate aerobe,flagella,NA,yes,rod,clump,negative,53.8,2,0.8,7,30,3
AJ937889,estuarine sediment,anaerobic,flagella,NA,yes,rod,NA,negative,56,0.9,1.75,NA,21,NA
AY926460,hypersaline environment,obligate aerobe,flagella,no,yes,rod,clump,negative,46.3,1.5,0.75,7.5,32,8.75
HQ284827,plant associated,facultative anaerobe,"motile, but unspecified structure",NA,yes,rod,NA,negative,46.8,2.1,0.85,NA,29,3
HE774678,hypersaline environment,facultative anaerobe,"motile, but unspecified structure",NA,no,rod,NA,negative,54.6,1.8,0.45,7.5,27.5,3.5
JX488684,other,facultative anaerobe,"motile, but unspecified structure",NA,yes,rod,clump,negative,48.6,2,0.7,8,26,2.5
AJ888241,other,obligate aerobe,"motile, but unspecified structure",no,yes,rod,NA,negative,69.35,1.15,3.5,6.5,28,0.5
JX488685,other,facultative anaerobe,"motile, but unspecified structure",NA,yes,rod,clump,negative,47.5,2,0.7,8,26,2.5
AY007296,freshwater sediment,obligate aerobe,non-motile,NA,NA,ovoid/coccobacillus,clump,negative,53.3,1.1,0.85,6,29,NA
AY987349,estuarine sediment,obligate aerobe,non-motile,no,no,rod,none,negative,33.6,NA,NA,7.5,32,3
AY926462,hypersaline environment,obligate aerobe,non-motile,no,yes,rod,NA,negative,64.2,2.25,0.875,7.5,28.5,5
AY742226,wastewater,anaerobic,flagella,no,NA,rod,NA,negative,46.6,0.75,2.05,7.75,37,2.5
DQ011289,marine sediment,obligate aerobe,flagella,no,yes,rod,NA,negative,39,1.75,0.65,8,27.5,1.75
AY428644,bioreactor,obligate aerobe,flagella,no,yes,rod,NA,negative,60.1,0.65,1.2,7.5,23,1
EU682684,soil,obligate aerobe,non-motile,NA,yes,rod,NA,negative,48.1,1.5,0.4,7.25,28,0
FJ429198,other,obligate aerobe,flagella,no,yes,rod,NA,negative,55.8,2,1.05,7.5,27.5,4
AB467281,marine sediment,obligate aerobe,"motile, but unspecified structure",NA,no,rod,NA,negative,50,2,NA,7.3,26.5,NA
AY442263,soil,obligate aerobe,non-motile,yes,yes,NA,NA,positive,NA,NA,NA,6.5,30,1
AY442266,soil,obligate aerobe,non-motile,yes,yes,NA,NA,positive,NA,NA,NA,7.25,26.5,1.25
AY442263,soil,obligate aerobe,non-motile,yes,yes,NA,NA,positive,NA,NA,NA,6.5,26.5,1.25
AB243845,soil,obligate aerobe,non-motile,yes,yes,rod,NA,positive,44,3.55,0.85,8,25,3
AB243849,soil,obligate aerobe,non-motile,yes,yes,rod,NA,positive,45.8,3.8,0.7,7.5,25,3
AB175499,other,facultative anaerobe,non-motile,no,NA,rod,none,negative,29.6,2.5,0.8,6.4,55,2.5
DQ473536,plant associated,obligate aerobe,non-motile,no,no,rod,NA,positive,66.4,1.85,0.7,NA,28,1
AB231905,food product,obligate aerobe,non-motile,yes,yes,rod,NA,positive,41.6,1.65,0.3,7,37,15
DQ386635,marine sediment,obligate aerobe,flagella,yes,yes,rod,NA,positive,40.2,1.4,0.3,8,35,2
KC017768,marine sediment,anaerobic,"motile, but unspecified structure",NA,yes,ovoid/coccobacillus,clump,negative,60.2,NA,NA,6,30,2
EU338486,other,obligate aerobe,non-motile,no,NA,rod,clump,negative,69,2.6,0.8,7,30,0.5
JF317279,seawater,obligate aerobe,gliding,NA,yes,rod,clump,negative,36.5,1.45,0.55,8,25,1
KC561141,other,facultative anaerobe,non-motile,no,yes,rod,clump,negative,47.2,7.25,0.4,7.5,28,6.5
KC684529,soil,obligate aerobe,non-motile,no,yes,rod,clump,negative,45.4,0.95,0.35,8.5,37,NA
HQ853596,soil,obligate aerobe,non-motile,NA,yes,rod,clump,negative,30,2.9,0.6,7.5,25,3
AY442268,soil,obligate aerobe,non-motile,yes,yes,NA,NA,positive,NA,NA,NA,7,26.5,1.75
AY442267,soil,obligate aerobe,non-motile,yes,yes,NA,NA,positive,NA,NA,NA,7,30,1.5
KC686334,seawater,obligate aerobe,non-motile,yes,yes,rod,clump,negative,43.2,2.7,0.3,7.5,35,4.25
KC832835,plant associated,obligate aerobe,non-motile,NA,yes,rod,clump,negative,37.3,1.4,0.55,7.5,25,2.5
KC800928,freshwater,obligate aerobe,NA,NA,yes,rod,clump,negative,45.2,4,0.4,NA,NA,2
JN703378,human - fecal,anaerobic,non-motile,no,yes,rod,none,negative,38.5,1.25,0.25,NA,NA,NA
JQ778983,other,anaerobic,non-motile,no,yes,ovoid/coccobacillus,clump,negative,41.7,1.4,0.7,6.5,37,NA
HE663456,other,obligate aerobe,non-motile,NA,yes,rod,none,negative,33.5,1,0.5,7.5,30,0
HM776705,soil,obligate aerobe,gliding,no,yes,rod,clump,negative,33.3,3.85,0.75,6,27.5,0.5
EF176580,seawater,facultative aerobe,non-motile,NA,no,rod,NA,negative,57.9,1.05,0.6,7,25,3.25
DQ285420,soil,NA,NA,no,no,NA,NA,positive,NA,NA,NA,NA,37.5,NA
DQ414419,other,NA,flagella,NA,no,rod,NA,negative,57.9,1.5,0.4,7.75,27.5,2.5
DQ534014,marine sediment,anaerobic,flagella,NA,yes,ovoid/coccobacillus,NA,negative,48.3,1.8,1.1,8,27.5,2.5
AM180953,freshwater,facultative anaerobe,non-motile,no,yes,rod,none,negative,58,1,0.5,7.5,28,2.25
AB175500,other,facultative anaerobe,non-motile,no,NA,rod,none,negative,35.5,2.5,0.6,7,37,3
DQ640642,marine sediment,obligate aerobe,non-motile,no,NA,rod,NA,negative,44.4,NA,NA,7.85,33,2.5
DQ672723,soil,obligate aerobe,non-motile,no,yes,rod,NA,negative,51.4,1.55,0.725,7.8,29,2
JX420244,hotspring,anaerobic,non-motile,no,NA,rod,NA,negative,62.7,NA,NA,6.75,60,0
KF002564,other,NA,NA,no,yes,ovoid/coccobacillus,none,NA,NA,4,2.5,NA,NA,NA
MB805440,other,obligate aerobe,NA,no,yes,ovoid/coccobacillus,none,NA,NA,2.25,2,NA,NA,NA
MB805441,other,obligate aerobe,NA,no,yes,ovoid/coccobacillus,none,NA,NA,2.75,2,NA,NA,NA
MB805442,other,obligate aerobe,NA,no,yes,ovoid/coccobacillus,none,NA,NA,3,3,NA,NA,NA
MB805443,other,obligate aerobe,NA,no,yes,ovoid/coccobacillus,none,NA,NA,2,2,NA,NA,NA
JX014295,other,obligate aerobe,non-motile,NA,yes,NA,NA,negative,65.4,NA,NA,7.25,39.5,21.17
JX192605,other,obligate aerobe,non-motile,NA,yes,NA,NA,negative,66.2,NA,NA,6.5,39.5,19.72
JQ363617,other,anaerobic,NA,NA,yes,ovoid/coccobacillus,none,positive,50.1,1.45,0.65,NA,NA,NA
EF202613,seawater,NA,non-motile,NA,no,rod,NA,negative,56.8,0.5,1.9,7.5,25,2
KC768773,marine sediment,obligate aerobe,non-motile,yes,yes,rod,chain,positive,70.7,NA,NA,7.5,28,3.5
KC768774,marine sediment,obligate aerobe,non-motile,yes,yes,rod,none,positive,74.4,NA,NA,7.5,37,3.5
JQ948045,built environment,obligate aerobe,non-motile,no,yes,rod,clump,positive,68.3,1.35,0.5,6.75,30,NA
HE983827,built environment,obligate aerobe,non-motile,no,yes,rod,NA,positive,NA,1.25,0.75,NA,NA,NA
HE983829,food product,obligate aerobe,non-motile,no,yes,rod,NA,positive,NA,1.3,0.7,NA,NA,NA
JN560152,other,obligate aerobe,NA,yes,NA,NA,none,positive,73.5,NA,0.87,6,28,0
HF674384,other,NA,NA,NA,no,rod,NA,positive,NA,NA,NA,NA,42,NA
JQ307192,soil,obligate aerobe,NA,yes,yes,spirillum/corkscrew,chain,positive,68.7,NA,NA,NA,28,NA
KC878444,plant associated,obligate aerobe,non-motile,no,yes,rod,clump,positive,68.51,1.05,0.35,6,30,0.5
KC878445,plant associated,obligate aerobe,non-motile,no,yes,rod,clump,positive,68.47,0.41,0.45,6,27.5,NA
KC251736,soil,obligate aerobe,non-motile,no,yes,rod,NA,positive,71.5,NA,NA,7,30,1
AB744663,soil,obligate aerobe,NA,yes,yes,NA,NA,positive,71.3,NA,NA,NA,NA,NA
EF554596,hotspring,anaerobic,flagella,NA,no,rod,NA,negative,35.2,1.1,0.5,7.1,75,NA
EF577029,wastewater,anaerobic,"motile, but unspecified structure",no,no,rod,chain,negative,59.6,0.5,1.75,7,37,4
AF251436,soil,NA,"motile, but unspecified structure",no,no,rod,clump,negative,54.9,2,0.5,2,35,NA
AY140237,hotspring,NA,non-motile,no,no,rod,clump,negative,50.2,3.5,0.5,1.8,43,NA
DQ504429,other,facultative anaerobe,flagella,no,no,rod,NA,negative,62.6,1.25,0.65,9,33.5,1.5
DQ393891,plant associated,NA,flagella,NA,NA,rod,NA,negative,67.9,2.15,0.9,6,27.5,0.75
AB166881,wastewater,obligate aerobe,non-motile,no,no,rod,clump,negative,68.1,1.5,0.85,7.5,29,0
AM397080,freshwater,facultative anaerobe,flagella,NA,NA,rod,none,negative,48.5,3.5,0.75,7.45,25.5,NA
AY786080,soil,obligate aerobe,flagella,no,no,rod,none,negative,56.4,NA,NA,7,28,1.5
DQ321750,soil,obligate aerobe,non-motile,no,yes,cocci,NA,positive,72.6,0.9,0.9,6.5,25,NA
AB088364,food product,obligate aerobe,NA,yes,yes,NA,NA,positive,60.3,NA,NA,NA,59,NA
AB088362,food product,obligate aerobe,NA,yes,yes,NA,NA,positive,59.35,NA,NA,NA,62.5,NA
AB200414,human - mouth,anaerobic,non-motile,no,no,cocci,clump,negative,49.9,5.4,0.8,NA,NA,NA
AY842259,seawater,anaerobic,non-motile,no,yes,ovoid/coccobacillus,clump,negative,47.6,1.6,1,7.5,32.5,2.5
AY753206,other,obligate aerobe,non-motile,no,yes,rod,clump,negative,41.3,2.65,0.4,NA,22,4
AY371897,soil,obligate aerobe,non-motile,yes,yes,cocci,clump,positive,71.5,NA,NA,NA,24,37.5
EU370956,soil,obligate aerobe,non-motile,no,yes,rod,clump,negative,50.1,NA,NA,6.75,30,NA
DQ534008,soil,obligate aerobe,non-motile,NA,NA,rod,clump,positive,NA,NA,NA,NA,32.5,NA
AY906863,seawater,obligate aerobe,non-motile,NA,no,rod,NA,negative,70,2.75,1.05,7.5,32.5,5.5
DQ514326,seawater,obligate aerobe,non-motile,NA,no,rod,NA,negative,66.7,2.05,0.6,7.5,32.5,8.5
AY326275,marine sediment,anaerobic,"motile, but unspecified structure",NA,yes,rod,chain,negative,38.8,1.25,0.65,7.25,17,2.5
AY683045,plant associated,obligate aerobe,"motile, but unspecified structure",no,yes,rod,NA,negative,70.6,2.425,0.7,6.8,28,NA
DQ465451,soil,obligate aerobe,non-motile,NA,no,rod,NA,negative,64.9,2.75,0.625,6.5,28,1
DQ336714,bioreactor,obligate aerobe,non-motile,no,yes,rod,NA,negative,38.2,NA,NA,7.25,29,1.5
DQ208689,other,NA,flagella,yes,NA,rod,NA,positive,60.1,NA,NA,7.05,70.5,0
DQ667965,seawater,obligate aerobe,non-motile,no,yes,cocci,chain,negative,59.7,1.3,0.7,7.5,26,2
AB778260,marine sediment,facultative anaerobe,non-motile,no,yes,rod,clump,positive,70.3,1.5,0.45,7.5,25,NA
EU379016,wastewater,facultative anaerobe,"motile, but unspecified structure",no,yes,rod,NA,positive,56.6,2.5,0.8,9.5,35,NA
KC447384,plant associated,anaerobic,flagella,yes,yes,rod,NA,positive,52.9,2.7,0.8,7,30,0.5
