"t_number","org_code","aliases","full_name","definition","annotation","taxonomy","lineage","data_source","keywords","disease","comment","number_of_nucleotides","number_of_protein_genes","number_of_RNA_genes","created","type","detail","accession","length","accession2","tax_id"
"T04524","nfr","37329","Nocardia farcinica NCTC11134","Nocardia farcinica NCTC11134","KOALA","TAX: 37329","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Nocardia","GenBank (Assembly: GCA_001182745.2)            BioProject: 251923",NA,NA,NA,6459780,6122,68,2016,"Plasmid","p2; Circular","LN868939",2657929,"LN868939","37329"
"T04524","nfr","37329","Nocardia farcinica NCTC11134","Nocardia farcinica NCTC11134","KOALA","TAX: 37329","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Nocardia","GenBank (Assembly: GCA_001182745.2)            BioProject: 251923",NA,NA,NA,6459780,6122,68,2016,"Plasmid","p3; Circular","LN868940",15090,"LN868940","37329"
"T04524","nfr","37329","Nocardia farcinica NCTC11134","Nocardia farcinica NCTC11134","KOALA","TAX: 37329","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Nocardia","GenBank (Assembly: GCA_001182745.2)            BioProject: 251923",NA,NA,NA,6459780,6122,68,2016,"Plasmid","p4; Circular","LN868941",96708,"LN868941","37329"
"T04524","nfr","37329","Nocardia farcinica NCTC11134","Nocardia farcinica NCTC11134","KOALA","TAX: 37329","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Nocardia","GenBank (Assembly: GCA_001182745.2)            BioProject: 251923",NA,NA,NA,6459780,6122,68,2016,"Plasmid","p5; Circular","LN868942",41291,"LN868942","37329"
"T01756","ncy","1127134","Nocardia cyriacigeorgica","Nocardia cyriacigeorgica GUH-2","KOALA","TAX: 1127134","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Nocardia","GenBank (Assembly: GCA_000284035.1)            BioProject: 79001","Human pathogen","H00345  Nocardiosis","Isolated from a fatal human nocardiosis case at Washington, DC, in the 1970s.",6194645,5477,69,2012,"Chromosome","Circular","FO082843",6194645,"FO082843","1127134"
"T02270","nbr","1133849","Nocardia brasiliensis","Nocardia brasiliensis ATCC 700358","KOALA","TAX: 1133849","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Nocardia","GenBank (Assembly: GCA_000250675.3)            BioProject: 81085","Human pathogen","H01451  Actinomycetoma","Soil inhabitant actinobacterium.            Isolated from a human case that has largely been found in in vitro and experimental models of actinomycetoma.",9436348,8414,57,2012,"Chromosome","Circular","CP003876",9436348,"CP003876","1133849"
"T03032","nno","1415166","Nocardia nova","Nocardia nova SH22a","KOALA","TAX: 1415166","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Nocardia","GenBank (Assembly: GCA_000523235.1)            BioProject: 225667",NA,NA,NA,8348532,7578,58,2014,"Chromosome","Circular","CP006850",8348532,"CP006850","1415166"
"T04582","nsl","134962","Nocardia soli","Nocardia soli Y48","KOALA","TAX: 134962","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Nocardia","GenBank (Assembly: GCA_001886715.1)            BioProject: 353759",NA,NA,NA,7310115,6307,63,2017,"Chromosome","Circular","CP018082",7310115,"CP018082","134962"
"T04599","nsr","37332","Nocardia seriolae","Nocardia seriolae EM150506","KOALA","TAX: 37332","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Nocardia","GenBank (Assembly: GCA_001865855.1)            BioProject: 325707",NA,NA,NA,8304518,7794,77,2017,"Chromosome","Circular","CP017839",8304518,"CP017839","37332"
"T00382","rha","RHOSR, 101510","Rhodococcus jostii","Rhodococcus jostii RHA1","manual","TAX: 101510","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000014565.1)            BioProject: 13693","PCB degrader, Methylotroph",NA,"Potent polychlorinated biphenyl-degrading soil actinomycete that catabolizes a wide range of compounds.            Isolated from lindane contaminated soil.",9702737,9145,65,2006,"Chromosome","","CP000431",7804765,"CP000431","101510"
"T00382","rha","RHOSR, 101510","Rhodococcus jostii","Rhodococcus jostii RHA1","manual","TAX: 101510","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000014565.1)            BioProject: 13693","PCB degrader, Methylotroph",NA,"Potent polychlorinated biphenyl-degrading soil actinomycete that catabolizes a wide range of compounds.            Isolated from lindane contaminated soil.",9702737,9145,65,2006,"Plasmid","pRHL1","CP000432",1123075,"CP000432","101510"
"T00382","rha","RHOSR, 101510","Rhodococcus jostii","Rhodococcus jostii RHA1","manual","TAX: 101510","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000014565.1)            BioProject: 13693","PCB degrader, Methylotroph",NA,"Potent polychlorinated biphenyl-degrading soil actinomycete that catabolizes a wide range of compounds.            Isolated from lindane contaminated soil.",9702737,9145,65,2006,"Plasmid","pRHL2","CP000433",442536,"CP000433","101510"
"T00382","rha","RHOSR, 101510","Rhodococcus jostii","Rhodococcus jostii RHA1","manual","TAX: 101510","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000014565.1)            BioProject: 13693","PCB degrader, Methylotroph",NA,"Potent polychlorinated biphenyl-degrading soil actinomycete that catabolizes a wide range of compounds.            Isolated from lindane contaminated soil.",9702737,9145,65,2006,"Plasmid","pRHL3","CP000434",332361,"CP000434","101510"
"T00881","rer","RHOE4, 234621","Rhodococcus erythropolis PR4","Rhodococcus erythropolis PR4","manual","TAX: 234621","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000010105.1)            BioProject: 20395",NA,NA,"Isolated from the Pacific Ocean.",6895538,6437,74,2009,"Chromosome","Circular","AP008957",6516310,"AP008957","234621"
"T00881","rer","RHOE4, 234621","Rhodococcus erythropolis PR4","Rhodococcus erythropolis PR4","manual","TAX: 234621","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000010105.1)            BioProject: 20395",NA,NA,"Isolated from the Pacific Ocean.",6895538,6437,74,2009,"Plasmid","pREC1; Circular","AP008932",104014,"AP008932","234621"
"T00881","rer","RHOE4, 234621","Rhodococcus erythropolis PR4","Rhodococcus erythropolis PR4","manual","TAX: 234621","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000010105.1)            BioProject: 20395",NA,NA,"Isolated from the Pacific Ocean.",6895538,6437,74,2009,"Plasmid","pREC2; Circular","AP008933",3637,"AP008933","234621"
"T00881","rer","RHOE4, 234621","Rhodococcus erythropolis PR4","Rhodococcus erythropolis PR4","manual","TAX: 234621","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000010105.1)            BioProject: 20395",NA,NA,"Isolated from the Pacific Ocean.",6895538,6437,74,2009,"Plasmid","pREL1","AP008931",271577,"AP008931","234621"
"T02806","rey","1136179","Rhodococcus erythropolis CCM2595","Rhodococcus erythropolis CCM2595","KOALA","TAX: 1136179","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000454045.1)            BioProject: 81583",NA,NA,"Isolated from soil.",6371421,5828,71,2013,"Chromosome","Circular","CP003761",6281198,"CP003761","1136179"
"T02806","rey","1136179","Rhodococcus erythropolis CCM2595","Rhodococcus erythropolis CCM2595","KOALA","TAX: 1136179","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000454045.1)            BioProject: 81583",NA,NA,"Isolated from soil.",6371421,5828,71,2013,"Plasmid","pRECF1; Circular","CP003762",90223,"CP003762","1136179"
"T03842","reb","1833","Rhodococcus erythropolis BG43","Rhodococcus erythropolis BG43","KOALA","TAX: 1833","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000975175.1)            BioProject: 280916",NA,NA,"Isolated from soil.",6865205,6157,69,2015,"Chromosome","Circular","CP011295",6334075,"CP011295","1833"
"T03842","reb","1833","Rhodococcus erythropolis BG43","Rhodococcus erythropolis BG43","KOALA","TAX: 1833","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000975175.1)            BioProject: 280916",NA,NA,"Isolated from soil.",6865205,6157,69,2015,"Plasmid","pRLCBG43; Circular","CP011296",240129,"CP011296","1833"
"T03842","reb","1833","Rhodococcus erythropolis BG43","Rhodococcus erythropolis BG43","KOALA","TAX: 1833","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000975175.1)            BioProject: 280916",NA,NA,"Isolated from soil.",6865205,6157,69,2015,"Plasmid","pRLLBG43; Circular","CP011297",261537,"CP011297","1833"
"T03842","reb","1833","Rhodococcus erythropolis BG43","Rhodococcus erythropolis BG43","KOALA","TAX: 1833","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000975175.1)            BioProject: 280916",NA,NA,"Isolated from soil.",6865205,6157,69,2015,"Plasmid","pRSLBG43; Circular","CP011298",29464,"CP011298","1833"
"T00882","rop","RHOOB, 632772","Rhodococcus opacus B4","Rhodococcus opacus B4","manual","TAX: 632772","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000010805.1)            BioProject: 34839",NA,NA,NA,8834939,8203,62,2009,"Chromosome","","AP011115",7913450,"AP011115","632772"
"T00882","rop","RHOOB, 632772","Rhodococcus opacus B4","Rhodococcus opacus B4","manual","TAX: 632772","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000010805.1)            BioProject: 34839",NA,NA,NA,8834939,8203,62,2009,"Plasmid","pROB01","AP011116",558192,"AP011116","632772"
"T00882","rop","RHOOB, 632772","Rhodococcus opacus B4","Rhodococcus opacus B4","manual","TAX: 632772","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000010805.1)            BioProject: 34839",NA,NA,NA,8834939,8203,62,2009,"Plasmid","pROB02","AP011117",244997,"AP011117","632772"
"T00882","rop","RHOOB, 632772","Rhodococcus opacus B4","Rhodococcus opacus B4","manual","TAX: 632772","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000010805.1)            BioProject: 34839",NA,NA,NA,8834939,8203,62,2009,"Plasmid","pKNR; Circular","AP011118",111160,"AP011118","632772"
"T00882","rop","RHOOB, 632772","Rhodococcus opacus B4","Rhodococcus opacus B4","manual","TAX: 632772","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000010805.1)            BioProject: 34839",NA,NA,NA,8834939,8203,62,2009,"Plasmid","pKNR01; Circular","AP011119",4367,"AP011119","632772"
"T00882","rop","RHOOB, 632772","Rhodococcus opacus B4","Rhodococcus opacus B4","manual","TAX: 632772","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000010805.1)            BioProject: 34839",NA,NA,NA,8834939,8203,62,2009,"Plasmid","pKNR02; Circular","AP011120",2773,"AP011120","632772"
"T03071","roa","543736","Rhodococcus opacus PD630","Rhodococcus opacus PD630","KOALA","TAX: 543736","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000599545.1)            BioProject: 178618",NA,NA,NA,9169032,8942,63,2014,"Chromosome","Circular","CP003949",8376953,"CP003949","543736"
"T03071","roa","543736","Rhodococcus opacus PD630","Rhodococcus opacus PD630","KOALA","TAX: 543736","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000599545.1)            BioProject: 178618",NA,NA,NA,9169032,8942,63,2014,"Plasmid","p1; Circular","CP003950",172218,"CP003950","543736"
"T03071","roa","543736","Rhodococcus opacus PD630","Rhodococcus opacus PD630","KOALA","TAX: 543736","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000599545.1)            BioProject: 178618",NA,NA,NA,9169032,8942,63,2014,"Plasmid","p2; Circular","CP003951",97588,"CP003951","543736"
"T03071","roa","543736","Rhodococcus opacus PD630","Rhodococcus opacus PD630","KOALA","TAX: 543736","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000599545.1)            BioProject: 178618",NA,NA,NA,9169032,8942,63,2014,"Plasmid","p3","CP003952",82420,"CP003952","543736"
"T03071","roa","543736","Rhodococcus opacus PD630","Rhodococcus opacus PD630","KOALA","TAX: 543736","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000599545.1)            BioProject: 178618",NA,NA,NA,9169032,8942,63,2014,"Plasmid","p4","CP003953",62932,"CP003953","543736"
"T03071","roa","543736","Rhodococcus opacus PD630","Rhodococcus opacus PD630","KOALA","TAX: 543736","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000599545.1)            BioProject: 178618",NA,NA,NA,9169032,8942,63,2014,"Plasmid","p5","CP003954",95987,"CP003954","543736"
"T03071","roa","543736","Rhodococcus opacus PD630","Rhodococcus opacus PD630","KOALA","TAX: 543736","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000599545.1)            BioProject: 178618",NA,NA,NA,9169032,8942,63,2014,"Plasmid","p6","CP003955",45950,"CP003955","543736"
"T03071","roa","543736","Rhodococcus opacus PD630","Rhodococcus opacus PD630","KOALA","TAX: 543736","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000599545.1)            BioProject: 178618",NA,NA,NA,9169032,8942,63,2014,"Plasmid","p7","CP003956",37095,"CP003956","543736"
"T03071","roa","543736","Rhodococcus opacus PD630","Rhodococcus opacus PD630","KOALA","TAX: 543736","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000599545.1)            BioProject: 178618",NA,NA,NA,9169032,8942,63,2014,"Plasmid","p8","CP003957",158587,"CP003957","543736"
"T03071","roa","543736","Rhodococcus opacus PD630","Rhodococcus opacus PD630","KOALA","TAX: 543736","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000599545.1)            BioProject: 178618",NA,NA,NA,9169032,8942,63,2014,"Plasmid","p9","CP003958",39302,"CP003958","543736"
"T01352","req","685727","Rhodococcus equi","Rhodococcus equi 103S","KOALA","TAX: 685727","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000196695.1)            BioProject: 41335","Human pathogen, Animal pathogen","H01021  Rhodococcus equi infection","Prototypic clinical isolate.",5043170,4512,NA,2010,"Chromosome","Circular","FN563149",5043170,"FN563149","685727"
"T02974","rpy","1435356","Rhodococcus pyridinivorans","Rhodococcus pyridinivorans SB3094","KOALA","TAX: 1435356","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000511305.1)            BioProject: 231235",NA,NA,"Isolated from a diesel waste site (Salem, VA).",5590512,5158,68,2013,"Chromosome","Circular","CP006996",5227080,"CP006996","1435356"
"T02974","rpy","1435356","Rhodococcus pyridinivorans","Rhodococcus pyridinivorans SB3094","KOALA","TAX: 1435356","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000511305.1)            BioProject: 231235",NA,NA,"Isolated from a diesel waste site (Salem, VA).",5590512,5158,68,2013,"Plasmid","unnamed; Circular","CP006997",361397,"CP006997","1435356"
"T02974","rpy","1435356","Rhodococcus pyridinivorans","Rhodococcus pyridinivorans SB3094","KOALA","TAX: 1435356","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000511305.1)            BioProject: 231235",NA,NA,"Isolated from a diesel waste site (Salem, VA).",5590512,5158,68,2013,"Plasmid","unnamed2; Circular","CP006998",2035,"CP006998","1435356"
"T03776","rhb","1564114","Rhodococcus sp. B7740","Rhodococcus sp. B7740","KOALA","TAX: 1564114","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000954115.1)            BioProject: 264767",NA,NA,"Isolated from Arctic seawater.",5341557,5213,59,2015,"Chromosome","Circular","CP010797",5341557,"CP010797","1564114"
"T03876","rav","191292","Rhodococcus aetherivorans","Rhodococcus aetherivorans IcdP1","KOALA","TAX: 191292","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_000982715.1)            BioProject: 281168",NA,NA,"Isolated from contaminated soil of the abandoned Beijing Coking Plant in China.",5922748,4988,67,2015,"Chromosome","Circular","CP011341",5922748,"CP011341","191292"
"T04328","rfa","1051973","Rhodococcus fascians","Rhodococcus fascians D188","KOALA","TAX: 1051973","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_001620305.1)            BioProject: 313428","Plant pathogen",NA,"Phytopathogen that alters plant development.            Well-characterized model isolate.            Infects a large variety of plants, including monocots and dicots, often causing cryptic symptomology.",5502110,5155,63,2016,"Chromosome","Circular","CP015235",5139988,"CP015235","1051973"
"T04328","rfa","1051973","Rhodococcus fascians","Rhodococcus fascians D188","KOALA","TAX: 1051973","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_001620305.1)            BioProject: 313428","Plant pathogen",NA,"Phytopathogen that alters plant development.            Well-characterized model isolate.            Infects a large variety of plants, including monocots and dicots, often causing cryptic symptomology.",5502110,5155,63,2016,"Plasmid","pFiD188","CP015236",197397,"CP015236","1051973"
"T04328","rfa","1051973","Rhodococcus fascians","Rhodococcus fascians D188","KOALA","TAX: 1051973","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_001620305.1)            BioProject: 313428","Plant pathogen",NA,"Phytopathogen that alters plant development.            Well-characterized model isolate.            Infects a large variety of plants, including monocots and dicots, often causing cryptic symptomology.",5502110,5155,63,2016,"Plasmid","unnamed2; Circular","CP015237",164725,"CP015237","1051973"
"T04814","rhw","679318","Rhodococcus sp. WMMA185","Rhodococcus sp. WMMA185","KOALA","TAX: 679318","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_001767395.1)            BioProject: 338664",NA,NA,"Isolated in 2011 from a marine sponge Chondrilla nucula collected off the coast of the Florida Keys.",4444448,3705,65,2017,"Chromosome","Circular","CP017014",4444448,"CP017014","679318"
"T05030","rhs","1653479","Rhodococcus sp. PBTS 2","Rhodococcus sp. PBTS 2","KOALA","TAX: 1653479","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_001620005.1)            BioProject: 313428","Plant pathogen",NA,"Isolated from diseased trees.            Causes stunting and abnormal root and shoot development in pathogenicity assays.",5316948,4980,62,2017,"Chromosome","Circular","CP015220",5179353,"CP015220","1653479"
"T05030","rhs","1653479","Rhodococcus sp. PBTS 2","Rhodococcus sp. PBTS 2","KOALA","TAX: 1653479","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","GenBank (Assembly: GCA_001620005.1)            BioProject: 313428","Plant pathogen",NA,"Isolated from diseased trees.            Causes stunting and abnormal root and shoot development in pathogenicity assays.",5316948,4980,62,2017,"Plasmid","unnamed1; Circular","CP015221",137595,"CP015221","1653479"
"T01102","gbr","526226","Gordonia bronchialis","Gordonia bronchialis DSM 43247","manual","TAX: 526226","Bacteria; Actinobacteria; Corynebacteriales; Gordoniaceae; Gordonia","GenBank (Assembly: GCA_000024785.1)            BioProject: 29549","Human pathogen","H01049  Gordonia bronchialis infection","Isolated from the sputum of a patient with pulmonary disease.",5290012,4696,58,2009,"Chromosome","Circular","CP001802",5208602,"CP001802","526226"
"T01102","gbr","526226","Gordonia bronchialis","Gordonia bronchialis DSM 43247","manual","TAX: 526226","Bacteria; Actinobacteria; Corynebacteriales; Gordoniaceae; Gordonia","GenBank (Assembly: GCA_000024785.1)            BioProject: 29549","Human pathogen","H01049  Gordonia bronchialis infection","Isolated from the sputum of a patient with pulmonary disease.",5290012,4696,58,2009,"Plasmid","pGBRO01; Circular","CP001803",81410,"CP001803","526226"
"T01719","gpo","1112204","Gordonia polyisoprenivorans","Gordonia polyisoprenivorans VH2","KOALA","TAX: 1112204","Bacteria; Actinobacteria; Corynebacteriales; Gordoniaceae; Gordonia","GenBank (Assembly: GCA_000247715.1)            BioProject: 76601",NA,NA,NA,5844299,5110,58,2012,"Chromosome","Circular","CP003119",5669805,"CP003119","1112204"
"T01719","gpo","1112204","Gordonia polyisoprenivorans","Gordonia polyisoprenivorans VH2","KOALA","TAX: 1112204","Bacteria; Actinobacteria; Corynebacteriales; Gordoniaceae; Gordonia","GenBank (Assembly: GCA_000247715.1)            BioProject: 76601",NA,NA,NA,5844299,5110,58,2012,"Plasmid","p174; Circular","CP003120",174494,"CP003120","1112204"
"T02216","gor","337191","Gordonia sp. KTR9","Gordonia sp. KTR9","KOALA","TAX: 337191","Bacteria; Actinobacteria; Corynebacteriales; Gordoniaceae; Gordonia","GenBank (Assembly: GCA_000143885.2)            BioProject: 50495",NA,NA,"Isolated from soil at an explosives testing facility.",5885710,5175,54,2012,"Chromosome","Circular","CP002907",5441391,"CP002907","337191"
"T02216","gor","337191","Gordonia sp. KTR9","Gordonia sp. KTR9","KOALA","TAX: 337191","Bacteria; Actinobacteria; Corynebacteriales; Gordoniaceae; Gordonia","GenBank (Assembly: GCA_000143885.2)            BioProject: 50495",NA,NA,"Isolated from soil at an explosives testing facility.",5885710,5175,54,2012,"Plasmid","pGKT1; Circular","CP002908",89480,"CP002908","337191"
"T02216","gor","337191","Gordonia sp. KTR9","Gordonia sp. KTR9","KOALA","TAX: 337191","Bacteria; Actinobacteria; Corynebacteriales; Gordoniaceae; Gordonia","GenBank (Assembly: GCA_000143885.2)            BioProject: 50495",NA,NA,"Isolated from soil at an explosives testing facility.",5885710,5175,54,2012,"Plasmid","pGKT2; Circular","CP002112",182454,"CP002112","337191"
"T02216","gor","337191","Gordonia sp. KTR9","Gordonia sp. KTR9","KOALA","TAX: 337191","Bacteria; Actinobacteria; Corynebacteriales; Gordoniaceae; Gordonia","GenBank (Assembly: GCA_000143885.2)            BioProject: 50495",NA,NA,"Isolated from soil at an explosives testing facility.",5885710,5175,54,2012,"Plasmid","pGKT3; Circular","CP002909",172385,"CP002909","337191"
"T04097","goq","1136941","Gordonia sp. QH-11","Gordonia sp. QH-11","KOALA","TAX: 1136941","Bacteria; Actinobacteria; Corynebacteriales; Gordoniaceae; Gordonia","GenBank (Assembly: GCA_001305675.1)            BioProject: 287087",NA,NA,NA,4428727,3902,63,2016,"Chromosome","Circular","CP011853",4428727,"CP011853","1136941"
"T04440","gta","2055","Gordonia terrae","Gordonia terrae 3612","KOALA","TAX: 2055","Bacteria; Actinobacteria; Corynebacteriales; Gordoniaceae; Gordonia","GenBank (Assembly: GCA_001698225.1)            BioProject: 330541",NA,NA,NA,5701501,4939,58,2016,"Chromosome","Circular","CP016594",5701501,"CP016594","2055"
"T01228","tpr","521096","Tsukamurella paurometabola","Tsukamurella paurometabola DSM 20162","manual","TAX: 521096","Bacteria; Actinobacteria; Corynebacteriales; Tsukamurellaceae; Tsukamurella","GenBank (Assembly: GCA_000092225.1)            BioProject: 29399","Human pathogen","H01050  Tsukamurella infections","Isolated from the mycetome and ovaries of Cimex lectularis (bedbug) in a study on the bacterial flora of Hexapoda by Edward A. Steinhaus in 1941.",4479724,4242,57,2010,"Chromosome","Circular","CP001966",4379918,"CP001966","521096"
"T01228","tpr","521096","Tsukamurella paurometabola","Tsukamurella paurometabola DSM 20162","manual","TAX: 521096","Bacteria; Actinobacteria; Corynebacteriales; Tsukamurellaceae; Tsukamurella","GenBank (Assembly: GCA_000092225.1)            BioProject: 29399","Human pathogen","H01050  Tsukamurella infections","Isolated from the mycetome and ovaries of Cimex lectularis (bedbug) in a study on the bacterial flora of Hexapoda by Edward A. Steinhaus in 1941.",4479724,4242,57,2010,"Plasmid","pTpau01; Circular","CP001967",99806,"CP001967","521096"
"T01238","srt","640132","Segniliparus rotundus","Segniliparus rotundus DSM 44985","manual","TAX: 640132","Bacteria; Actinobacteria; Corynebacteriales; Segniliparaceae; Segniliparus","GenBank (Assembly: GCA_000092825.1)            BioProject: 37711",NA,NA,"Isolated from human sputum in Tennessee, USA.",3157527,3006,53,2010,"Chromosome","Circular","CP001958",3157527,"CP001958","640132"
"T04608","dtm","499555","Dietzia timorensis","Dietzia timorensis ID05-A0528","KOALA","TAX: 499555","Bacteria; Actinobacteria; Corynebacteriales; Dietziaceae; Dietzia","GenBank (Assembly: GCA_001659785.1)            BioProject: 345110",NA,NA,"Isolated from a soil sample collected under mahogany trees in West Timor.",3607892,3306,53,2017,"Chromosome","Circular","CP015961",3607892,"CP015961","499555"
"T04080","cbq","1528099","Lawsonella clevelandensis","Lawsonella clevelandensis (Corynebacteriales bacterium X1698)","KOALA","TAX: 1528099","Bacteria; Actinobacteria; Corynebacteriales; Lawsonella","GenBank (Assembly: GCA_001281505.1)            BioProject: 256353",NA,NA,"Obtained from human abscesses.",1915154,1378,53,2016,"Chromosome","Circular","CP012390",1915154,"CP012390","1528099"
"T00085","sco","STRCO, 100226","Streptomyces coelicolor","Streptomyces coelicolor A3(2)","manual","TAX: 100226","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces; Streptomyces albidoflavus group","RefSeq (Assembly: GCF_000203835.1)            BioProject: 57801",NA,NA,"Saprophytic bacteria producing most natural antibiotics",9054847,8152,86,2002,"Chromosome","","NC_003888 (AL645882)",8667507,"NC_003888","100226"
"T00085","sco","STRCO, 100226","Streptomyces coelicolor","Streptomyces coelicolor A3(2)","manual","TAX: 100226","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces; Streptomyces albidoflavus group","RefSeq (Assembly: GCF_000203835.1)            BioProject: 57801",NA,NA,"Saprophytic bacteria producing most natural antibiotics",9054847,8152,86,2002,"Plasmid","SCP1","NC_003903 (AL589148)",356023,"NC_003903","100226"
"T00085","sco","STRCO, 100226","Streptomyces coelicolor","Streptomyces coelicolor A3(2)","manual","TAX: 100226","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces; Streptomyces albidoflavus group","RefSeq (Assembly: GCF_000203835.1)            BioProject: 57801",NA,NA,"Saprophytic bacteria producing most natural antibiotics",9054847,8152,86,2002,"Plasmid","SCP2; Circular","NC_003904 (AL645771)",31317,"NC_003904","100226"
"T00126","sma","STRAW, 227882","Streptomyces avermitilis","Streptomyces avermitilis MA-4680","manual","TAX: 227882","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000009765.1)            BioProject: 189",NA,NA,"Bacterium produces avermectins, a group of antiparasitic agents used in human and veterinary medicine",9119895,7676,89,2003,"Chromosome","Circular","BA000030",9025608,"BA000030","227882"
